State,Number of Customers,Average Monthly Consumption (kWh),Average Price (cents/kWh),Average Monthly Bill (Dollar and cents)
AL,2280741,1144.77,12.57,143.95
AK,315208,552.29,22.57,124.66
AS,2896339,1113.69,12.27,136.70
AZ,1413490,1060.04,10.41,110.33
CA,13834719,571.84,20.45,116.94
CO,2400357,711.09,12.36,87.88
CT,1521112,711.20,22.71,161.55
DE,446276,932.00,12.56,117.09
DC,290466,703.64,12.63,88.89
FL,9731237,1141.50,11.27,128.64
GA,4487431,1081.17,12.02,129.92
HI,442002,537.16,30.28,162.66
ID,782559,955.28,9.95,95.04
IL,5339610,720.57,13.04,93.98
IN,2920266,938.22,12.83,120.34
IA,1403386,865.02,12.46,107.78
KS,1282532,883.18,12.85,113.52
KY,2013910,1073.17,10.87,116.62
LA,2112928,1200.58,9.67,116.07
ME,717559,569.67,16.81,95.77
MD,2376983,957.32,13.01,124.50
MA,2817549,601.74,21.97,132.18
MI,4423595,675.60,16.26,109.86
MN,2464753,775.46,13.17,102.11
MS,1308149,1146.33,11.17,128.08
MO,2833918,1027.74,11.22,115.35
MT,522382,858.24,11.24,96.49
NE,864842,1013.19,10.80,109.39
NV,1226566,973.02,11.34,110.36
NH,633234,630.41,19.04,120.01
NJ,3618587,683.44,16.03,109.54
NM,905885,669.89,12.94,86.66
NY,7239162,601.56,18.36,110.47
NC,4695096,1040.83,11.38,118.44
ND,387506,1085.26,10.44,113.26
OH,5014959,873.27,12.29,107.30
OK,1795629,1078.20,10.12,109.07
OR,1785131,916.27,11.17,102.32
PA,5448109,845.97,13.58,114.90
RI,441573,594.09,22.01,130.75
SC,2377020,1080.70,12.78,138.16
SD,407532,1036.73,11.75,121.77
TN,2930482,1168.32,10.76,125.70
TX,11515333,1131.93,11.71,132.59
UT,1143136,768.85,10.44,80.24
VT,316948,567.13,19.54,110.79
VA,3506844,1095.21,12.03,131.72
WA,3168238,969.49,9.87,95.72
WV,862279,1051.24,11.80,124.09
WI,2742424,694.24,14.32,99.42
WY,276029,869.33,11.11,96.59
